Track Name,Popularity,singer_gender_type
Adheeraa (From Cobra),59,Male
Adi Penne (Duet) - From Naam Series,67,Duet
Adiye - From Bachelor,71,Male
Arabic Kuthu - Halamithi Habibo (From Beast),70,Duet
Bae (From Don),64,Male
Beast Mode (From Beast),64,Male
Bimbilikki Pilapi (From Prince )(Tamil),57,Male
Bullet Song (From The Warriorr )(Tamil),51,Duet
Chellamma,50,Duet
Dippam Dappam (From Kaathuvaakula Rendu Kaadhal),67,Male
Ennai Vittu,50,Male
Evanda Enakku Custody,54,Male
Eyy Beta Idhu En Patta (From Pushpa - The Rise)(Tamil),43,Male
Jalabulajangu (From Don),60,Male
Jimikki Ponnu,66,Duet
Jolly O Gymkhana (From Beast),61,Male
Kanja Poovu Kannala (From Viruman),60,Male
Life of Pazham (From Thiruchitrambalam),56,Male
Lokiverse - Background Score,65,Male
Maacho,57,Duet
Madura Veeran,46,Duet
Mayakirriye,56,Male
Missing Me,51,Male
Naan Pizhai (From Kaathuvaakula Rendu Kaadhal),61,Duet
Naanga Vera Maari (From Valimai),48,Male
Oo Solriya Oo Oo Solriya (From Pushpa - The Rise)(Tamil),60,Female
Otha Thamarai - Original Soundtrack,50,Male
Pablo Sandhanam - Background Score,56,Male
Pacha Elai,44,Male
Pacha Elai (From Love Today),51,Male
Pathala Pathala (From Vikram),60,Male
Private Party,45,Duet
Private Party (From Don),58,Duet
Ra Ra Reddy I Am Ready,60,Female
Ranjithame (From Varisu),66,Duet
Rolex Theme - Background Score,61,Male
Saami Saami (From Pushpa - The Rise)(Tamil),51,Female
Sandhanam Theme - Background Score,55,Male
So Baby (From Doctor),58,Male
Soul of Doctor (Theme) [From Doctor],54,Male
Srivalli (From Pushpa - The Rise)(Tamil),55,Male
Summa Surrunu (From Etharkkum Thunindhavan),45,Duet
Thaai Kelavi (From Thiruchitrambalam),60,Male
Thee Thalapathy (From Varisu),63,Male
Thumbi Thullal (From Cobra),48,Duet
Two Two Two (From Kaathuvaakula Rendu Kaadhal),56,Duet
Vaathi Coming,66,Male
Vikram - Title Track,64,Male
Yaar Azhaippadhu,61,Male
