Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5WWplXimzIjlJiN2N7T9Q3,"Pathala Pathala (From Vikram)","Pathala Pathala (From Vikram)","Anirudh Ravichander,Kamal Haasan",2022-05-11,211384,60,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:31:17Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.826,0.779,0,-5.609,1,0.375,0.35,0,0.0657,0.936,130.091,4
spotify:track:1uJ2czshFLqimctgvsxfv2,"Ponni Nadhi (From Ponniyin Selvan Part -1) - Tamil","Ponni Nadhi (From Ponniyin Selvan Part -1) [Original Motion Picture Soundtrack]","A.R. Rahman,A. R. Reihana,Bamba Bakya",2022-07-31,290526,0,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:31:42Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil indie,tamil dance","Tips Industries Ltd.",0.687,0.637,10,-9.55,0,0.13,0.12,0,0.291,0.56,152,4
spotify:track:0xcBgFgDYiV0oqJk5Bl7nf,"Vera Level Sago (From Ayalaan)","Vera Level Sago (From Ayalaan)","A.R. Rahman",2021-02-17,254400,36,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:32:03Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.854,0.765,9,-9.387,1,0.0845,0.156,0,0.0645,0.889,110.026,4
spotify:track:7e97QgqoYTXOj1s7JI0dHR,"Otha Thamarai - Original Soundtrack","Otha Thamarai (Original Soundtrack)","Bala,Nixen,Sandy Sandellow",2022-04-29,219923,50,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:32:24Z,"tamil indie,tamil pop,kollywood,tamil hip hop","Voni Music",0.541,0.744,7,-6.191,0,0.295,0.507,0,0.26,0.877,194.976,3
spotify:track:1pean7zvZUqcWZaUucH63f,"Thaai Kelavi (From Thiruchitrambalam)","Thaai Kelavi (From Thiruchitrambalam)","Dhanush,Anirudh Ravichander",2022-06-24,258909,60,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:32:36Z,"tamil dance,tamil pop,kollywood,tollywood,tamil hip hop,telugu pop","Sun Pictures",0.661,0.92,9,-3.469,0,0.188,0.0352,0.000014,0.314,0.494,82.508,4
spotify:track:78g1KU3zvKQLS5emtG9Xiu,"Bullet Song (From The Warriorr )(Tamil)","Bullet Song (From The Warriorr )(Tamil)","Devi Sri Prasad,Silambarasan TR,Haripriya,Viveka",2022-04-22,237235,51,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:33:03Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood,tamil hip hop","Aditya Music",0.715,0.888,5,-6.55,0,0.222,0.569,0.185,0.0917,0.786,195.006,3
spotify:track:2kcizR0QjZNKchPQNGL2bK,"Ra Ra Rakkamma (From Vikrant Rona)","Ra Ra Rakkamma (From Vikrant Rona)","Nakash Aziz,Sunidhi Chauhan",2022-05-26,218239,0,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:36:12Z,"bollywood,tollywood,desi,telugu pop,hindi pop,tamil dance","Lahari Music",0.845,0.962,4,-6.699,0,0.0983,0.537,0.00488,0.086,0.382,129.942,4
spotify:track:6yvxu91deFKt3X1QoV6qMv,"Arabic Kuthu - Halamithi Habibo (From Beast)","Arabic Kuthu - Halamithi Habibo (From Beast)","Anirudh Ravichander,Jonita Gandhi",2022-02-14,279677,70,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:36:49Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,bollywood,hindi pop,desi","Sun Pictures",0.608,0.757,2,-6.945,1,0.164,0.259,0.00216,0.259,0.625,124.078,4
spotify:track:1aQ58u4guUf999iQX3J2HF,"Beast Mode (From Beast)","Beast Mode (From Beast)","Anirudh Ravichander",2022-04-08,220350,64,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:37:12Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop","Sun Pictures",0.584,0.847,2,-5.106,1,0.0933,0.00105,0.000525,0.333,0.371,170.983,4
spotify:track:6lpbzOMBOYHRsp6WEMvRvn,"Jolly O Gymkhana (From Beast)","Jolly O Gymkhana (From Beast)","Thalapathy Vijay,Anirudh Ravichander",2022-03-19,208064,61,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:37:33Z,"tamil dance,tamil pop,kollywood,tollywood,tamil hip hop,telugu pop","Sun Pictures",0.652,0.653,2,-10.263,1,0.213,0.0358,0,0.081,0.776,185.931,3
spotify:track:2vkNA9I029dTwX0y6d59Sc,"Dippam Dappam (From Kaathuvaakula Rendu Kaadhal)","Dippam Dappam (From Kaathuvaakula Rendu Kaadhal)","Anirudh Ravichander,Anthony Daasan",2022-04-20,209032,67,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:37:56Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.827,0.717,11,-7.755,0,0.111,0.0908,0.000523,0.0511,0.772,123.987,4
spotify:track:6C8JJFoGC4dkVtAHVK3iif,"Two Two Two (From Kaathuvaakula Rendu Kaadhal)","Two Two Two (From Kaathuvaakula Rendu Kaadhal)","Anirudh Ravichander,Sunidhi Chauhan,Sanjana Kalmanje",2021-09-18,176345,56,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:38:19Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.821,0.69,1,-4.981,1,0.187,0.0202,0.00398,0.199,0.648,140.171,4
spotify:track:1UUgngRGzFWfgpyN0WAN1r,"Naan Pizhai (From Kaathuvaakula Rendu Kaadhal)","Naan Pizhai (From Kaathuvaakula Rendu Kaadhal)","Anirudh Ravichander,Ravi G,Shashaa Tirupati",2022-01-03,243570,61,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:39:18Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,hindi pop,bollywood","Sony Music Entertainment India Pvt. Ltd.",0.401,0.488,2,-8.417,1,0.0288,0.6,0,0.124,0.455,149.951,3
spotify:track:5D507IC1VOAg7bKkmOblr6,"Bae (From Don)","Bae (From Don)","Anirudh Ravichander,Adithya RK",2022-02-03,242628,64,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:39:41Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.697,0.663,6,-7.246,1,0.0486,0.0701,0.0000104,0.112,0.407,96.968,4
spotify:track:4HdzYTQiouB9BVYX7JOrhh,"Jalabulajangu (From Don)","Jalabulajangu (From Don)","Anirudh Ravichander,Rokesh",2021-12-16,202607,60,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:39:45Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.635,0.823,7,-5.437,0,0.153,0.0261,0,0.0481,0.457,151.047,4
spotify:track:6eYsOcDdB5b6rTO5ubMxeV,"Private Party (From Don)","Private Party (From Don)","Anirudh Ravichander,Jonita Gandhi",2022-04-30,216774,58,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:40:08Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.862,0.886,10,-5.423,0,0.123,0.184,0.00000133,0.0565,0.896,124.031,4
spotify:track:3huCRjAX12zNPxtX9JqX2X,"Naanga Vera Maari (From Valimai)","Naanga Vera Maari (From Valimai)","Yuvan Shankar Raja,Anurag Kulkarni",2021-08-03,254345,48,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:40:39Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.649,0.889,1,-5.442,1,0.199,0.102,0,0.323,0.601,149.949,4
spotify:track:1MNTkcO4iosQNhqnj6DS3y,"Whistle Song","The Warriorr (Tamil)","Anthony Daasan,Srinisha Jayaseelan",2022-07-06,202605,17,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:41:51Z,"tamil dance,tamil pop,kollywood,kannada pop,tamil hip hop,tamil indie","Aditya Music",0.465,0.853,7,-6.349,1,0.15,0.0152,0.0000308,0.0747,0.545,84.977,4
spotify:track:0sjg2rWD3IcQK07HOBw5Dq,"Summa Surrunu (From Etharkkum Thunindhavan)","Summa Surrunu (From Etharkkum Thunindhavan)","Armaan Malik,Nikhita Gandhi,D. Imman",2022-01-16,226584,45,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:44:23Z,"bollywood,hindi pop,kannada pop,tollywood,telugu pop,tamil pop,tamil dance,kollywood","Sun Pictures",0.701,0.862,7,-5.288,1,0.0543,0.025,0.00000281,0.0801,0.884,142.031,4
spotify:track:41yDmY8tDmRgqDDSwR3Su0,"Vaada Thambi","Etharkkum Thunindhavan (Original Motion Picture Soundtrack)","G. V. Prakash,Anirudh Ravichander,D. Imman",2022-02-02,259090,37,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:44:36Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sun Pictures",0.7,0.954,5,-5.73,0,0.0946,0.206,0.0000031,0.0629,0.795,87.996,4
spotify:track:6CJHEfXmn6x9j03oV1hABh,"Ullam Urugudhaiya","Etharkkum Thunindhavan (Original Motion Picture Soundtrack)","Pradeep Kumar,Vandana Srinivasan,Brindha Manickavasakan,D. Imman",2022-02-02,234624,39,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:44:43Z,"kollywood,tamil pop,tamil dance","Sun Pictures",0.684,0.745,10,-6.312,1,0.0345,0.169,0,0.267,0.826,119.991,4
spotify:track:78tblPcz2otRZd1VOeU7zz,"Kanja Poovu Kannala (From Viruman)","Kanja Poovu Kannala (From Viruman)","Yuvan Shankar Raja,Sid Sriram",2022-05-25,237558,60,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:50:45Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.72,0.692,8,-6.354,1,0.0894,0.291,0,0.177,0.52,110.011,4
spotify:track:3eFoAIpRrhGCEISQxnoNFI,"Madura Veeran","Viruman (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Aditi Shankar",2022-08-03,229500,46,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:50:49Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.677,0.551,7,-9.477,1,0.0636,0.393,0,0.13,0.697,157.485,3
spotify:track:4381FmKZc1uT2zzhBiknH7,"Adheeraa (From Cobra)","Adheeraa (From Cobra)","A.R. Rahman,Vagu Mazan,Thoughtsfornow",2022-04-22,259139,59,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:51:06Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,malayalam pop,tamil dance,mollywood,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.722,0.859,6,-8.143,0,0.039,0.11,0.0000739,0.0929,0.562,110.969,4
spotify:track:6RxPsQFgCHmjibKGS1QiRU,"Thumbi Thullal (From Cobra)","Thumbi Thullal (From Cobra)","A.R. Rahman,Nakul Abhyankar,Shreya Ghoshal",2020-06-29,283929,48,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:51:11Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,kannada pop,sandalwood,tollywood,tamil hip hop,marathi pop,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.613,0.587,2,-10.566,1,0.0505,0.337,0.0000483,0.237,0.393,81.983,4
spotify:track:1Hdz67JES35Z4h3Yd4PXvV,"Bimbilikki Pilapi (From Prince )(Tamil)","Bimbilikki Pilapi (From Prince )(Tamil)","Thaman S,Anirudh Ravichander,Ramya Behara,Sahithi Chaganti,Vivek",2022-09-01,247000,57,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:52:55Z,"tollywood,telugu pop,tamil dance,tamil pop,kollywood,kannada pop,tamil hip hop","Aditya Music",0.645,0.947,11,-7.239,0,0.238,0.426,0.00000226,0.463,0.823,156.828,4
spotify:track:6A6mDExVoAEJmc5JyVSQeK,"Life of Pazham (From Thiruchitrambalam)","Life of Pazham (From Thiruchitrambalam)","Anirudh Ravichander",2022-07-27,234514,56,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:53:57Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop","Sun Pictures",0.503,0.665,7,-6.302,0,0.0801,0.124,0.000155,0.175,0.597,174.974,3
spotify:track:5iUbq311UD3MZYmfi2a1Ob,"Pablo Sandhanam - Background Score","Vikram (Original Background Score)","Anirudh Ravichander",2022-07-07,45055,56,false,kavfd5l8a0zs4wrkp4zrckcv9,2022-10-07T14:54:50Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.843,0.579,1,-7.505,1,0.352,0.278,0.0174,0.384,0.395,141.73,4
