Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5MnYRWbAz5BCDUcLbwR1Ji,"","","",0000,0,0,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:04:56Z,"","",0.8,0.751,0,-5.554,1,0.049,0.568,0,0.219,0.604,102.021,4
spotify:track:0zsA45R0SQPfqC5TyDOqY8,"Neeyum Naanum Anbe","Imaikkaa Nodigal (Original Motion Picture Soundtrack)","Hiphop Tamizha,Raghu Dixit,Sathyaprakash D.,Jithin Raj",2018-06-27,285250,71,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:21:03Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie,kannada pop,sandalwood,tollywood","Think Music",0.467,0.826,4,-3.885,0,0.049,0.298,0,0.204,0.417,160.025,4
spotify:track:4nSwWiwtieiNmRAjy9fEXN,"Kannala Kannala - The Melting Point of Love","Thani Oruvan (Original Motion Picture Soundtrack)","Hiphop Tamizha,Kaushik Krish,Padmalatha",2015-07-22,215456,71,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:18:15Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.593,0.776,0,-4.343,0,0.0325,0.216,0.0000294,0.329,0.634,81.992,4
spotify:track:6sPW145Y3LSXd4p1LjBOcS,"Kanave Kanave","David","Anirudh Ravichander",2013-01-10,284784,70,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:22:15Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop","T-Series",0.47,0.513,9,-10.076,0,0.0294,0.373,0.0000065,0.123,0.477,95.015,1
spotify:track:6RXJKdpBp6AVL6H6sHyNp0,"Yennai Maatrum Kadhale","Naanum Rowdy Dhaan (Original Motion Picture Soundtrack)","Sid Sriram",2015-10-14,274678,0,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:01:27Z,"tollywood,telugu pop,tamil pop,kollywood","Divo",0.515,0.766,4,-7.291,0,0.0936,0.46,0.00000327,0.136,0.346,112.457,3
spotify:track:4sCcDvX30uu39ozvxcRsqB,"Vilambara Idaiveli - From Imaikkaa Nodigal","Vilambara Idaiveli (From Imaikkaa Nodigal)","Hiphop Tamizha,Christopher Stanley,Sudarshan Ashok,Srinisha Jayaseelan",2018-03-05,273396,62,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:23:30Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Think Music",0.631,0.818,9,-3.922,1,0.0338,0.11,0,0.091,0.551,108.065,4
spotify:track:1AzNN19lPYC68iacrbWL8X,"Mudhal Nee Mudivum Nee Title Track (From Mudhal Nee Mudivum Nee)","Mudhal Nee Mudivum Nee Title Track (From Mudhal Nee Mudivum Nee)","Darbuka Siva,Sid Sriram",2020-09-02,332702,69,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:05:41Z,"tamil pop,kollywood,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.556,0.521,6,-10.811,1,0.0321,0.632,0.000582,0.102,0.355,127.956,4
spotify:track:2G53OcVphvDNOs08gptddN,"Maruvaarthai","Enai Noki Paayum Thota (Original Motion Picture Soundtrack)","Sid Sriram",2019-09-01,356718,0,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:05:27Z,"tollywood,telugu pop,tamil pop,kollywood","VMS Music Records And Publishing Sdn Bhd",0.561,0.729,8,-6.528,1,0.0304,0.0117,0.000127,0.105,0.27,127.993,4
spotify:track:0fGclndst25Qqy8j4u5De5,"Chellamma (From Doctor)","Chellamma (From Doctor)","Anirudh Ravichander,Jonita Gandhi",2020-07-16,236500,61,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:02:34Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.498,0.679,4,-7.252,0,0.214,0.256,0.000325,0.0589,0.743,99.702,3
spotify:track:6EwRpLL5QThnF2k1sZzQpC,"Kadhal Oru Aagayam","Imaikkaa Nodigal (Original Motion Picture Soundtrack)","Hiphop Tamizha,Teejay,Al Rufian",2018-06-27,161762,67,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:18:41Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Think Music",0.488,0.585,5,-4.39,0,0.0263,0.664,0,0.386,0.399,143.96,4
spotify:track:01My8pFFvtNrshuAOUbFF7,"Pakkam Neeyum Illai","Pakkam Neeyum Illai","Vivek - Mervin",2021-01-07,266431,24,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:03:48Z,"tamil pop,tamil dance,kollywood,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.797,0.532,4,-7.097,0,0.0373,0.201,0.000164,0.134,0.234,123.965,4
spotify:track:1I3WM5b0yG9Cb6NSSMMLhi,"Neeyum Naanum Anbe","Imaikkaa Nodigal","Raghu Dixit,Sathyaprakash",2018-08-30,285250,0,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:07:53Z,"kannada pop,sandalwood,tollywood,tamil pop,kollywood,tamil indie,tamil dance","Think Music",0.47,0.826,4,-3.886,0,0.0481,0.301,0,0.204,0.403,160.03,4
spotify:track:6b84SSP7e5LwfvNPoDPshX,"Hi Sonna Pothum (From Comali)","Hi Sonna Pothum (From Comali)","Hiphop Tamizha,Kaushik Krish",2019-07-31,230430,63,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:06:26Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.483,0.693,0,-6.646,0,0.0908,0.285,0.00000227,0.117,0.648,183.954,4
spotify:track:4IUGuoJ41g5fLIqsO1MJoU,"Ilamai Thirumbudhe - From Petta","Petta (Original Motion Picture Soundtrack)","Anirudh Ravichander",2018-12-10,217000,62,false,vumgcnus1ubl8c3kgzw2vvsqw,2021-01-28T04:07:29Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.395,0.425,7,-7.616,0,0.0625,0.719,0,0.175,0.457,167.863,4
