Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6yvxu91deFKt3X1QoV6qMv,"Arabic Kuthu - Halamithi Habibo (From Beast)","Arabic Kuthu - Halamithi Habibo (From Beast)","Anirudh Ravichander,Jonita Gandhi",2022-02-14,279677,70,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:41:27Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,bollywood,hindi pop,desi","Sun Pictures",0.608,0.757,2,-6.945,1,0.164,0.259,0.00216,0.259,0.625,124.078,4
spotify:track:1qVjzwNnhHChLcWTueFAze,"Missing Me (From Mahaan (Tamil))","Missing Me [From Mahaan (Tamil)]","Santhosh Narayanan,Dhruv Vikram",2022-02-08,181354,38,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:41:33Z,"tamil pop,kollywood,tamil hip hop,tamil dance,tollywood,telugu pop,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.621,0.751,1,-5.514,1,0.429,0.196,0.00000201,0.125,0.574,154.967,4
spotify:track:5D507IC1VOAg7bKkmOblr6,"Bae (From Don)","Bae (From Don)","Anirudh Ravichander,Adithya RK",2022-02-03,242628,64,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:41:43Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.697,0.663,6,-7.246,1,0.0486,0.0701,0.0000104,0.112,0.407,96.968,4
spotify:track:4HdzYTQiouB9BVYX7JOrhh,"Jalabulajangu (From Don)","Jalabulajangu (From Don)","Anirudh Ravichander,Rokesh",2021-12-16,202607,60,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:42:22Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.635,0.823,7,-5.437,0,0.153,0.0261,0,0.0481,0.457,151.047,4
spotify:track:0CI3up9Rf5tZq5MxfJG2oB,"Polladha Ulagam (From Maaran)","Polladha Ulagam (From Maaran)","Dhanush,Arivu",2022-01-26,235447,0,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:52:13Z,"tamil dance,tamil pop,kollywood,tamil hip hop,tamil indie,malayalam hip hop,desi hip hop","Lahari Music",0.73,0.771,1,-8.041,1,0.221,0.023,0.000128,0.142,0.628,135.972,4
spotify:track:6C8JJFoGC4dkVtAHVK3iif,"Two Two Two (From Kaathuvaakula Rendu Kaadhal)","Two Two Two (From Kaathuvaakula Rendu Kaadhal)","Anirudh Ravichander,Sunidhi Chauhan,Sanjana Kalmanje",2021-09-18,176345,56,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:52:40Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.821,0.69,1,-4.981,1,0.187,0.0202,0.00398,0.199,0.648,140.171,4
spotify:track:61LeFCT6Nnkv55AiSgZCre,"Naattu Koothu (From Rrr)","Naattu Koothu (From Rrr)","Rahul Sipligunj,Yazin Nizar",2021-11-10,214495,0,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:52:31Z,"telugu pop,tollywood,kannada pop","Lahari Music",0.44,0.985,10,-3.714,0,0.149,0.369,0.0264,0.0789,0.75,160.072,4
spotify:track:1UUgngRGzFWfgpyN0WAN1r,"Naan Pizhai (From Kaathuvaakula Rendu Kaadhal)","Naan Pizhai (From Kaathuvaakula Rendu Kaadhal)","Anirudh Ravichander,Ravi G,Shashaa Tirupati",2022-01-03,243570,61,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:52:43Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,hindi pop,bollywood","Sony Music Entertainment India Pvt. Ltd.",0.401,0.488,2,-8.417,1,0.0288,0.6,0,0.124,0.455,149.951,3
spotify:track:3MBUQcMPekDVtn5mZ6Nv7c,"Naan Naan","Mahaan (Original Motion Picture Soundtrack)","Santhosh Narayanan",2022-02-09,248500,61,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:52:50Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.788,0.653,10,-5.132,1,0.0425,0.0389,0.00007,0.0131,0.842,120.02,4
spotify:track:0sjg2rWD3IcQK07HOBw5Dq,"Summa Surrunu (From Etharkkum Thunindhavan)","Summa Surrunu (From Etharkkum Thunindhavan)","Armaan Malik,Nikhita Gandhi,D. Imman",2022-01-16,226584,45,false,31iknx3xjcqjhzmy7uy35o76f6de,2022-02-18T22:57:29Z,"bollywood,hindi pop,kannada pop,tollywood,telugu pop,tamil pop,tamil dance,kollywood","Sun Pictures",0.701,0.862,7,-5.288,1,0.0543,0.025,0.00000281,0.0801,0.884,142.031,4
