Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0MTdYgTZ25sLCO6kVnDoje,"Aasa Kooda - From Think Indie","Aasa Kooda (From Think Indie)","Sai Abhyankkar,Sai Smriti",2024-06-13,215510,78,false,,2024-12-04T12:15:00Z,"tamil indie,tamil pop,kollywood","Think Music",0.675,0.537,5,-9.401,1,0.0352,0.48,0.00112,0.12,0.534,98.003,4
spotify:track:3CA9CjRf7IU2Ukz3GuYInP,"Manasilaayo","Vettaiyan (Original Motion Picture Soundtrack)","Anirudh Ravichander,Malaysia Vasudevan,Deepthi Suresh,Yugendran Vasudeva Nair",2024-10-14,235629,63,false,,2024-12-04T12:15:00Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.701,0.928,1,-3.029,1,0.286,0.018,0.00293,0.074,0.451,150.889,4
spotify:track:1kmJ0EvXClJAt0fSSQLX1m,"Hey Minnale (From Amaran) (Tamil)","Hey Minnale (From Amaran) (Tamil)","G. V. Prakash,Haricharan,Shweta Mohan,Karthik Netha",2024-10-04,229811,71,false,,2024-12-04T12:15:00Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,mollywood,telugu pop,malayalam pop,kannada pop","Saregama India Ltd",0.683,0.609,0,-8.657,0,0.0383,0.263,0,0.375,0.423,106.024,4
spotify:track:1zzejMGRYKP5XOa3FmzXfa,"Katchi Sera - From Think Indie","Katchi Sera (From Think Indie)","Sai Abhyankkar",2024-01-22,181818,74,false,,2024-12-04T12:15:00Z,"tamil indie,tamil pop,kollywood","Think Music",0.765,0.642,7,-8.48,0,0.115,0.243,0.00104,0.339,0.822,148.465,3
spotify:track:5eSoySxUnx3xsm0FHFgHiv,"Achacho - From Aranmanai 4","Achacho (From Aranmanai 4)","Hiphop Tamizha,Kharesma Ravichandran,Srinisha Jayaseelan",2024-04-14,193056,67,false,,2024-12-04T12:15:00Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Think Music",0.841,0.788,9,-3.94,0,0.228,0.11,0,0.138,0.845,127.917,4
spotify:track:1l4CYsCwvTRRAW2cmsVZ36,"Water Packet","Raayan (Original Motion Picture Soundtrack)","Santhosh Narayanan,Shweta Mohan,Gana Kadhar",2024-07-06,246002,58,false,,2024-12-04T12:15:00Z,"tamil pop,kollywood,tamil hip hop,tamil dance,malayalam pop,mollywood,tollywood,telugu pop","Sun Pictures",0.82,0.661,11,-6.868,0,0.151,0.241,0,0.284,0.953,94.979,3
spotify:track:3dHP1GUSR19PB1baWz37LN,"Golden Sparrow (From Nilavuku En Mel Ennadi Kobam)","Golden Sparrow (From Nilavuku En Mel Ennadi Kobam)","G. V. Prakash,Arivu,Dhanush,Sublahshini",2024-08-30,230400,73,false,,2024-12-04T12:15:00Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,tamil indie,malayalam hip hop,desi hip hop,telugu pop,indian indie","Wunderbar Films",0.92,0.851,4,-6.24,0,0.146,0.322,0.00242,0.0695,0.779,112.499,3
spotify:track:5zgalMo7LWrUPbnv9tgupN,"Paiya Dei - From Think Indie","Paiya Dei (From Think Indie)","Asal Kolaar,Anand Kashinath",2024-10-17,155400,70,false,,2024-12-04T12:15:00Z,"tamil hip hop,tamil indie,malayalam hip hop,tamil dance,tamil pop,kollywood","Think Music",0.815,0.752,5,-5.939,0,0.302,0.414,0.000211,0.33,0.489,100.089,4
spotify:track:0qWi8mYXpjSfoYmkgjV3JK,"Whistle Podu","The Greatest Of All Time","Thalapathy Vijay,Yuvan Shankar Raja",2024-09-03,281268,48,false,,2024-12-04T12:15:00Z,"tamil dance,tamil pop,kollywood,tamil hip hop","T-Series",0.646,0.882,1,-5.665,1,0.177,0.0413,0.0000434,0.215,0.538,162.041,4
spotify:track:5KRF3484mnhyYFVXyvsBEf,"Hunter Vantaar","Vettaiyan (Original Motion Picture Soundtrack)","Anirudh Ravichander,Siddharth Basrur,Arivu",2024-10-14,192631,59,false,,2024-12-04T12:15:00Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,bollywood,tamil indie,malayalam hip hop,desi hip hop","Sony Music Entertainment India Pvt. Ltd.",0.692,0.764,1,-5.078,1,0.0649,0.0544,0,0.0922,0.495,95.002,4
spotify:track:2YMxiPx0Mu7ap1TYcLtBKE,"Kaathu Mela - From Think Indie","Kaathu Mela (From Think Indie)","Paal Dabba,ofRO,Deva",2024-07-15,123252,62,false,,2024-12-04T12:15:00Z,"tamil hip hop,tamil indie,malayalam hip hop,tamil dance,tamil pop,malayalam pop,mollywood,kollywood","Think Music",0.86,0.899,2,-5.094,1,0.104,0.128,0.000211,0.0687,0.772,79.998,4
